WL(nm)	PL	PE(mW/nm)
645	0.3550	0.1361
646	0.3472	0.1332
647	0.3335	0.1279
648	0.3249	0.1246
649	0.3163	0.1213
650	0.3053	0.1171
651	0.3029	0.1162
652	0.2987	0.1145
653	0.2866	0.1099
654	0.2781	0.1067
655	0.2765	0.1060
656	0.2698	0.1035
657	0.2582	0.0990
658	0.2519	0.0966
659	0.2446	0.0938
660	0.2395	0.0919
661	0.2316	0.0888
662	0.2297	0.0881
663	0.2222	0.0852
664	0.2174	0.0834
665	0.2131	0.0817
666	0.2055	0.0788
667	0.1981	0.0760
668	0.1938	0.0743
669	0.1911	0.0733
670	0.1847	0.0708
671	0.1782	0.0683
672	0.1746	0.0670
673	0.1657	0.0635
674	0.1678	0.0644
675	0.1569	0.0602
676	0.1576	0.0604
677	0.1547	0.0593
678	0.1462	0.0561
679	0.1442	0.0553
680	0.1404	0.0539
681	0.1358	0.0521
682	0.1336	0.0512
683	0.1331	0.0510
684	0.1247	0.0478
685	0.1239	0.0475
686	0.1205	0.0462
687	0.1167	0.0448
688	0.1147	0.0440
689	0.1112	0.0426
690	0.1086	0.0417
691	0.1068	0.0409
692	0.1061	0.0407
693	0.1010	0.0387
694	0.0985	0.0378
695	0.0922	0.0354
696	0.0956	0.0367
697	0.0880	0.0337
698	0.0876	0.0336
699	0.0836	0.0321
700	0.0834	0.0320
701	0.0830	0.0318
702	0.0777	0.0298
703	0.0783	0.0300
704	0.0754	0.0289
705	0.0742	0.0285
706	0.0752	0.0288
707	0.0742	0.0284
708	0.0700	0.0269
709	0.0673	0.0258
710	0.0692	0.0265
711	0.0639	0.0245
712	0.0644	0.0247
713	0.0649	0.0249
714	0.0627	0.0240
715	0.0560	0.0215
716	0.0570	0.0219
717	0.0546	0.0209
718	0.0510	0.0196
719	0.0519	0.0199
720	0.0497	0.0190
721	0.0500	0.0192
722	0.0489	0.0187
723	0.0495	0.0190
724	0.0447	0.0172
725	0.0438	0.0168
726	0.0432	0.0166
727	0.0426	0.0163
728	0.0431	0.0165
729	0.0442	0.0169
730	0.0406	0.0156
731	0.0396	0.0152
732	0.0389	0.0149
733	0.0384	0.0147
734	0.0397	0.0152
735	0.0354	0.0136
736	0.0370	0.0142
737	0.0382	0.0146
