WL(nm)	PL	PE(mW/nm)
645	0.5278	24.1874
646	0.5148	23.5911
647	0.5076	23.2627
648	0.4919	22.5427
649	0.4875	22.3385
650	0.4746	21.7484
651	0.4659	21.3524
652	0.4554	20.8700
653	0.4471	20.4867
654	0.4360	19.9782
655	0.4259	19.5175
656	0.4183	19.1689
657	0.4068	18.6429
658	0.3964	18.1659
659	0.3907	17.9033
660	0.3747	17.1711
661	0.3652	16.7338
662	0.3608	16.5338
663	0.3460	15.8551
664	0.3416	15.6539
665	0.3346	15.3312
666	0.3250	14.8940
667	0.3154	14.4556
668	0.3094	14.1797
669	0.3036	13.9135
670	0.2970	13.6095
671	0.2874	13.1717
672	0.2794	12.8045
673	0.2744	12.5764
674	0.2652	12.1541
675	0.2606	11.9439
676	0.2541	11.6441
677	0.2508	11.4909
678	0.2390	10.9521
679	0.2348	10.7584
680	0.2293	10.5099
681	0.2211	10.1314
682	0.2181	9.9944
683	0.2092	9.5880
684	0.2066	9.4678
685	0.1999	9.1586
686	0.1936	8.8705
687	0.1882	8.6249
688	0.1859	8.5179
689	0.1814	8.3136
690	0.1735	7.9488
691	0.1688	7.7370
692	0.1667	7.6381
693	0.1606	7.3610
694	0.1571	7.1977
695	0.1532	7.0207
696	0.1503	6.8861
697	0.1447	6.6295
698	0.1393	6.3857
699	0.1370	6.2802
700	0.1347	6.1722
701	0.1287	5.8978
702	0.1278	5.8565
703	0.1221	5.5949
704	0.1194	5.4707
705	0.1149	5.2646
706	0.1128	5.1684
707	0.1099	5.0378
708	0.1061	4.8600
709	0.1039	4.7613
710	0.1010	4.6264
711	0.0968	4.4370
712	0.0937	4.2930
713	0.0930	4.2617
714	0.0888	4.0673
715	0.0860	3.9428
716	0.0848	3.8843
717	0.0831	3.8093
718	0.0804	3.6866
719	0.0780	3.5741
720	0.0756	3.4630
721	0.0726	3.3281
722	0.0730	3.3470
723	0.0687	3.1475
724	0.0679	3.1126
725	0.0647	2.9638
726	0.0636	2.9143
727	0.0619	2.8358
728	0.0602	2.7607
729	0.0564	2.5864
730	0.0579	2.6530
731	0.0538	2.4644
732	0.0529	2.4235
733	0.0520	2.3833
734	0.0510	2.3373
735	0.0506	2.3188
736	0.0482	2.2086
737	0.0467	2.1421
738	0.0443	2.0315
739	0.0458	2.0975
740	0.0438	2.0094
741	0.0417	1.9116
742	0.0423	1.9394
743	0.0384	1.7596
744	0.0371	1.7005
745	0.0366	1.6769
746	0.0377	1.7255
747	0.0354	1.6223
748	0.0346	1.5867
749	0.0327	1.4976
750	0.0306	1.4002
751	0.0306	1.4011
752	0.0306	1.4041
753	0.0296	1.3587
754	0.0285	1.3050
755	0.0278	1.2761
756	0.0281	1.2898
757	0.0252	1.1536
758	0.0246	1.1288
759	0.0250	1.1474
760	0.0243	1.1136
761	0.0243	1.1156
762	0.0247	1.1305
763	0.0232	1.0636
764	0.0225	1.0297
765	0.0224	1.0249
766	0.0206	0.9438
767	0.0209	0.9598
768	0.0191	0.8760
769	0.0186	0.8540
770	0.0188	0.8633
771	0.0177	0.8114
772	0.0174	0.7986
773	0.0164	0.7537
774	0.0156	0.7139
775	0.0160	0.7318
776	0.0153	0.7012
777	0.0145	0.6625
778	0.0156	0.7163
779	0.0155	0.7111
780	0.0132	0.6037
781	0.0139	0.6370
782	0.0138	0.6337
783	0.0139	0.6352
784	0.0123	0.5649
785	0.0125	0.5743
786	0.0115	0.5254
787	0.0117	0.5353
788	0.0120	0.5487
789	0.0127	0.5840
790	0.0108	0.4964
791	0.0110	0.5028
792	0.0095	0.4331
793	0.0118	0.5396
794	0.0100	0.4585
795	0.0090	0.4146
796	0.0107	0.4899
797	0.0090	0.4143
798	0.0102	0.4669
799	0.0085	0.3901
800	0.0092	0.4199
