WL(nm)	PL	PE(mW/nm)
645	0.7402	285.1496
646	0.6430	247.7269
647	0.5594	215.5153
648	0.4748	182.9258
649	0.4006	154.3261
650	0.3340	128.6710
651	0.2784	107.2699
652	0.2293	88.3427
653	0.1925	74.1667
654	0.1589	61.2273
655	0.1334	51.3834
656	0.1113	42.8932
657	0.0929	35.7784
658	0.0769	29.6125
659	0.0643	24.7840
660	0.0502	19.3542
661	0.0418	16.1051
662	0.0351	13.5207
663	0.0298	11.4683
664	0.0253	9.7352
665	0.0216	8.3206
666	0.0184	7.0857
667	0.0162	6.2241
668	0.0140	5.4094
669	0.0119	4.5926
670	0.0102	3.9423
671	0.0090	3.4617
672	0.0077	2.9505
673	0.0068	2.6298
674	0.0059	2.2853
675	0.0053	2.0360
676	0.0046	1.7592
677	0.0040	1.5475
678	0.0037	1.4198
679	0.0032	1.2406
680	0.0028	1.0885
681	0.0026	1.0209
682	0.0024	0.9145
683	0.0021	0.8134
684	0.0020	0.7533
685	0.0018	0.6972
686	0.0017	0.6671
687	0.0016	0.6101
688	0.0014	0.5522
689	0.0014	0.5417
690	0.0013	0.5044
691	0.0012	0.4705
692	0.0012	0.4528
693	0.0011	0.4171
694	0.0011	0.4112
695	0.0010	0.3764
696	0.0009	0.3606
697	0.0009	0.3614
698	0.0009	0.3451
699	0.0008	0.3196
700	0.0009	0.3379
701	0.0008	0.3078
702	0.0008	0.3056
703	0.0008	0.2967
704	0.0008	0.2903
705	0.0008	0.2913
706	0.0007	0.2797
707	0.0007	0.2647
708	0.0007	0.2658
709	0.0007	0.2526
710	0.0007	0.2680
711	0.0007	0.2513
712	0.0007	0.2640
713	0.0006	0.2337
714	0.0006	0.2504
715	0.0006	0.2214
716	0.0006	0.2234
717	0.0005	0.2053
718	0.0006	0.2385
719	0.0006	0.2196
720	0.0006	0.2140
721	0.0006	0.2360
722	0.0005	0.2033
723	0.0005	0.1983
724	0.0005	0.2030
725	0.0005	0.2061
726	0.0005	0.1962
727	0.0005	0.2107
728	0.0005	0.2034
729	0.0005	0.1890
730	0.0005	0.1824
731	0.0005	0.1922
732	0.0004	0.1710
733	0.0005	0.1920
734	0.0005	0.2028
735	0.0005	0.2059
736	0.0005	0.1762
737	0.0005	0.1914
738	0.0005	0.2100
739	0.0005	0.1964
740	0.0004	0.1686
741	0.0005	0.1971
742	0.0005	0.1745
743	0.0005	0.1816
744	0.0005	0.1774
745	0.0005	0.1774
746	0.0005	0.1770
747	0.0005	0.1743
748	0.0005	0.1871
749	0.0005	0.1737
750	0.0005	0.1846
751	0.0005	0.2012
752	0.0005	0.1935
753	0.0005	0.1925
754	0.0006	0.2132
755	0.0005	0.1927
756	0.0005	0.1932
757	0.0005	0.1916
758	0.0005	0.1807
759	0.0005	0.1811
760	0.0006	0.2356
761	0.0005	0.1987
762	0.0006	0.2224
763	0.0005	0.1967
764	0.0005	0.2064
765	0.0005	0.1888
766	0.0006	0.2273
767	0.0005	0.1948
768	0.0005	0.1874
769	0.0005	0.2034
770	0.0006	0.2209
771	0.0006	0.2155
772	0.0005	0.2008
773	0.0006	0.2200
774	0.0005	0.1999
775	0.0007	0.2655
776	0.0005	0.1923
777	0.0006	0.2481
778	0.0006	0.2368
779	0.0007	0.2690
780	0.0007	0.2671
781	0.0006	0.2389
782	0.0006	0.2152
783	0.0006	0.2501
784	0.0008	0.2936
785	0.0007	0.2513
786	0.0007	0.2753
787	0.0007	0.2735
788	0.0006	0.2264
789	0.0006	0.2480
790	0.0006	0.2489
791	0.0007	0.2562
792	0.0007	0.2889
793	0.0007	0.2560
794	0.0007	0.2599
795	0.0007	0.2515
796	0.0009	0.3309
797	0.0008	0.2953
798	0.0007	0.2757
799	0.0008	0.2897
800	0.0008	0.2951
