WL(nm)	PL	PE(mW/nm)
645	0.6334	16.3845
646	0.6311	16.3244
647	0.6361	16.4560
648	0.6330	16.3738
649	0.6392	16.5354
650	0.6418	16.6032
651	0.6410	16.5826
652	0.6468	16.7327
653	0.6526	16.8812
654	0.6560	16.9701
655	0.6642	17.1830
656	0.6648	17.1961
657	0.6627	17.1433
658	0.6652	17.2083
659	0.6697	17.3243
660	0.6717	17.3761
661	0.6719	17.3818
662	0.6805	17.6039
663	0.6742	17.4412
664	0.6794	17.5752
665	0.6872	17.7771
666	0.6852	17.7248
667	0.6847	17.7115
668	0.6896	17.8397
669	0.6955	17.9910
670	0.6934	17.9377
671	0.7008	18.1280
672	0.7046	18.2275
673	0.7027	18.1786
674	0.7070	18.2896
675	0.7106	18.3812
676	0.7173	18.5565
677	0.7116	18.4088
678	0.7193	18.6074
679	0.7258	18.7752
680	0.7244	18.7397
681	0.7270	18.8052
682	0.7235	18.7149
683	0.7330	18.9612
684	0.7349	19.0101
685	0.7352	19.0191
686	0.7437	19.2373
687	0.7421	19.1978
688	0.7520	19.4536
689	0.7469	19.3207
690	0.7472	19.3278
691	0.7543	19.5128
692	0.7557	19.5482
693	0.7547	19.5217
694	0.7584	19.6191
695	0.7670	19.8400
696	0.7628	19.7325
697	0.7588	19.6285
698	0.7699	19.9167
699	0.7724	19.9807
700	0.7790	20.1509
701	0.7771	20.1025
702	0.7800	20.1764
703	0.7785	20.1389
704	0.7820	20.2297
705	0.7850	20.3078
706	0.7872	20.3647
707	0.7899	20.4329
708	0.7876	20.3746
709	0.7977	20.6347
710	0.7969	20.6157
711	0.7919	20.4857
712	0.8022	20.7519
713	0.8067	20.8680
714	0.8103	20.9607
715	0.8166	21.1245
716	0.8117	20.9983
717	0.8194	21.1977
718	0.8191	21.1878
719	0.8213	21.2457
720	0.8145	21.0693
721	0.8283	21.4257
722	0.8259	21.3642
723	0.8228	21.2857
724	0.8348	21.5957
725	0.8328	21.5427
726	0.8389	21.7016
727	0.8253	21.3503
728	0.8470	21.9107
729	0.8438	21.8285
730	0.8444	21.8433
731	0.8373	21.6597
732	0.8604	22.2583
733	0.8482	21.9425
734	0.8573	22.1775
735	0.8408	21.7490
736	0.8508	22.0088
737	0.8475	21.9232
738	0.8706	22.5198
739	0.8611	22.2749
740	0.8685	22.4674
741	0.8735	22.5962
742	0.8574	22.1804
743	0.8755	22.6480
744	0.8685	22.4665
745	0.8790	22.7381
