WL(nm)	PL	PE(mW/nm)
645	0.0002	0.1293
646	0.0002	0.1275
647	0.0002	0.1138
648	0.0002	0.1212
649	0.0003	0.1340
650	0.0002	0.1138
651	0.0002	0.1203
652	0.0002	0.1092
653	0.0002	0.1129
654	0.0002	0.1148
655	0.0002	0.1092
656	0.0002	0.1062
657	0.0002	0.1085
658	0.0002	0.1037
659	0.0002	0.1022
660	0.0002	0.0872
661	0.0002	0.0997
662	0.0002	0.0882
663	0.0002	0.0844
664	0.0002	0.0881
665	0.0002	0.0859
666	0.0002	0.0933
667	0.0002	0.0884
668	0.0002	0.0964
669	0.0002	0.0792
670	0.0001	0.0765
671	0.0001	0.0778
672	0.0001	0.0712
673	0.0002	0.0817
674	0.0001	0.0705
675	0.0001	0.0695
676	0.0001	0.0738
677	0.0001	0.0643
678	0.0001	0.0663
679	0.0001	0.0696
680	0.0001	0.0672
681	0.0001	0.0582
682	0.0001	0.0545
683	0.0001	0.0577
684	0.0001	0.0583
685	0.0001	0.0573
686	0.0001	0.0625
687	0.0001	0.0601
688	0.0001	0.0563
689	0.0001	0.0541
690	0.0001	0.0547
691	0.0001	0.0507
692	0.0001	0.0499
693	0.0001	0.0473
694	0.0001	0.0467
695	0.0001	0.0459
696	0.0001	0.0398
697	0.0001	0.0403
698	0.0001	0.0410
699	0.0001	0.0402
700	0.0001	0.0493
701	0.0001	0.0346
702	0.0001	0.0388
703	0.0001	0.0429
704	0.0001	0.0327
705	0.0001	0.0332
706	0.0001	0.0358
707	0.0001	0.0400
708	0.0001	0.0349
709	0.0001	0.0360
710	0.0001	0.0444
711	0.0001	0.0369
712	0.0001	0.0376
713	0.0001	0.0365
714	0.0001	0.0283
715	0.0001	0.0289
716	0.0001	0.0382
717	0.0001	0.0393
718	0.0001	0.0280
719	0.0001	0.0335
720	0.0000	0.0216
721	0.0001	0.0298
722	0.0000	0.0226
723	0.0001	0.0381
724	0.0001	0.0313
725	0.0000	0.0239
726	0.0000	0.0162
727	0.0000	0.0220
728	0.0000	0.0252
729	0.0001	0.0285
730	0.0000	0.0260
731	0.0000	0.0146
732	0.0000	0.0151
733	0.0001	0.0337
734	0.0000	0.0187
735	0.0001	0.0314
736	0.0001	0.0288
737	0.0000	0.0195
738	0.0000	0.0168
739	0.0000	0.0169
740	0.0000	0.0207
741	0.0000	0.0035
742	0.0000	0.0213
743	0.0000	0.0219
744	0.0000	0.0037
745	0.0000	0.0113
746	0.0000	0.0190
747	0.0001	0.0273
748	0.0001	0.0279
749	0.0000	0.0040
750	0.0000	0.0041
751	0.0000	0.0165
752	0.0000	0.0086
753	0.0000	0.0130
754	0.0000	0.0000
755	0.0000	0.0090
756	0.0000	0.0183
757	0.0000	0.0093
758	0.0000	0.0000
759	0.0000	0.0049
760	0.0000	0.0200
761	0.0000	0.0100
762	0.0000	0.0102
763	0.0000	0.0000
764	0.0000	0.0159
765	0.0000	0.0214
766	0.0000	0.0000
767	0.0000	0.0109
768	0.0000	0.0000
769	0.0000	0.0057
770	0.0000	0.0000
771	0.0000	0.0000
772	0.0000	0.0178
773	0.0000	0.0121
774	0.0000	0.0062
775	0.0000	0.0063
776	0.0000	0.0000
777	0.0000	0.0000
778	0.0000	0.0065
779	0.0000	0.0000
780	0.0000	0.0067
781	0.0000	0.0206
782	0.0000	0.0070
783	0.0000	0.0000
784	0.0000	0.0000
785	0.0000	0.0000
786	0.0000	0.0222
787	0.0000	0.0000
788	0.0000	0.0000
789	0.0000	0.0000
790	0.0000	0.0078
791	0.0000	0.0000
792	0.0000	0.0000
793	0.0000	0.0082
794	0.0000	0.0249
795	0.0000	0.0249
796	0.0000	0.0000
797	0.0000	0.0000
798	0.0000	0.0000
799	0.0000	0.0000
800	0.0001	0.0267
