"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"514.0","0.0334","7.0766e-003","1210.3",
"515.0","0.0306","6.4903e-003","1107.1",
"516.0","0.0281","5.9456e-003","1013.8",
"517.0","0.0256","5.4265e-003","924.4",
"518.0","0.0234","4.9613e-003","845.6",
"519.0","0.0214","4.5343e-003","772.9",
"520.0","0.0196","4.1600e-003","705.8",
"521.0","0.0180","3.8249e-003","645.2",
"522.0","0.0165","3.4920e-003","586.4",
"523.0","0.0151","3.1923e-003","534.4",
"524.0","0.0138","2.9295e-003","489.7",
"525.0","0.0127","2.6930e-003","449.7",
"526.0","0.0117","2.4813e-003","415.8",
"527.0","0.0107","2.2695e-003","384.3",
"528.0","0.0099","2.0981e-003","359.3",
"529.0","0.0092","1.9509e-003","338.0",
"530.0","0.0085","1.8065e-003","317.3",
"531.0","0.0079","1.6821e-003","299.1",
"532.0","0.0074","1.5716e-003","282.1",
"533.0","0.0069","1.4555e-003","263.9",
"534.0","0.0063","1.3421e-003","246.7",
"535.0","0.0059","1.2551e-003","232.9",
"536.0","0.0056","1.1793e-003","220.9",
"537.0","0.0051","1.0908e-003","207.8",
"538.0","0.0049","1.0281e-003","197.9",
"539.0","0.0045","9.5849e-004","187.4",
"540.0","0.0042","8.9402e-004","177.9",
"541.0","0.0040","8.4672e-004","170.8",
"542.0","0.0037","7.9303e-004","163.3",
"543.0","0.0035","7.5015e-004","157.1",
"544.0","0.0033","7.0860e-004","151.0",
"545.0","0.0032","6.8303e-004","146.9",
"546.0","0.0031","6.4926e-004","141.9",
"547.0","0.0029","6.1786e-004","137.2",
"548.0","0.0028","5.9750e-004","134.2",
"549.0","0.0027","5.6474e-004","129.5",
"550.0","0.0025","5.3807e-004","125.2",
"551.0","0.0023","4.9661e-004","119.3",
"552.0","0.0022","4.6428e-004","114.8",
"553.0","0.0021","4.5038e-004","112.8",
"554.0","0.0021","4.4158e-004","111.4",
"555.0","0.0020","4.1671e-004","108.0",
"556.0","0.0019","4.1280e-004","107.2",
"557.0","0.0019","4.1306e-004","106.9",
"558.0","0.0019","3.9866e-004","104.8",
"559.0","0.0019","4.0076e-004","104.5",
"560.0","0.0019","3.9749e-004","103.8",
"561.0","0.0019","3.9760e-004","103.6",
"562.0","0.0018","3.8818e-004","102.2",
"563.0","0.0018","3.8582e-004","101.6",
"564.0","0.0019","3.9267e-004","102.0",
"565.0","0.0019","3.9994e-004","102.6",
"566.0","0.0019","4.0557e-004","103.0",
"567.0","0.0019","4.0633e-004","103.0",
"568.0","0.0020","4.1922e-004","104.1",
"569.0","0.0020","4.2587e-004","104.4",
"570.0","0.0021","4.4715e-004","106.4",
"571.0","0.0022","4.7078e-004","108.6",
"572.0","0.0023","4.7887e-004","109.0",
"573.0","0.0024","5.0544e-004","111.3",
"574.0","0.0026","5.4090e-004","114.7",
"575.0","0.0027","5.7345e-004","117.7",
"576.0","0.0029","6.0765e-004","120.7",
"577.0","0.0031","6.5123e-004","124.9",
"578.0","0.0033","6.9295e-004","128.8",
"579.0","0.0035","7.3301e-004","132.3",
"580.0","0.0037","7.8937e-004","137.4",
"581.0","0.0040","8.5071e-004","142.9",
"582.0","0.0043","9.0876e-004","147.9",
"583.0","0.0047","1.0023e-003","156.4",
"584.0","0.0052","1.0969e-003","164.5",
"585.0","0.0056","1.1868e-003","172.3",
"586.0","0.0061","1.2955e-003","181.2",
"587.0","0.0067","1.4125e-003","190.8",
"588.0","0.0073","1.5509e-003","202.0",
"589.0","0.0080","1.7040e-003","213.9",
"590.0","0.0088","1.8656e-003","227.2",
"591.0","0.0097","2.0462e-003","241.7",
"592.0","0.0106","2.2385e-003","257.2",
"593.0","0.0117","2.4736e-003","276.9",
"594.0","0.0129","2.7238e-003","297.1",
"595.0","0.0141","2.9947e-003","319.0",
"596.0","0.0155","3.2809e-003","342.4",
"597.0","0.0168","3.5608e-003","364.9",
"598.0","0.0185","3.9271e-003","394.3",
"599.0","0.0204","4.3229e-003","425.2",
"600.0","0.0225","4.7722e-003","458.8",
"601.0","0.0245","5.1882e-003","491.0",
"602.0","0.0268","5.6873e-003","528.7",
"603.0","0.0296","6.2755e-003","571.3",
"604.0","0.0324","6.8557e-003","612.6",
"605.0","0.0355","7.5292e-003","658.6",
"606.0","0.0389","8.2423e-003","708.8",
"607.0","0.0425","9.0054e-003","762.0",
"608.0","0.0465","9.8470e-003","819.9",
"609.0","0.0508","1.0757e-002","880.7",
"610.0","0.0553","1.1713e-002","945.1",
"611.0","0.0599","1.2696e-002","1010.9",
"612.0","0.0649","1.3750e-002","1081.3",
"613.0","0.0705","1.4941e-002","1160.0",
"614.0","0.0769","1.6302e-002","1245.0",
"615.0","0.0840","1.7799e-002","1336.7",
"616.0","0.0911","1.9302e-002","1432.4",
"617.0","0.0989","2.0958e-002","1537.3",
"618.0","0.1071","2.2694e-002","1645.2",
"619.0","0.1168","2.4747e-002","1765.0",
"620.0","0.1273","2.6986e-002","1901.4",
"621.0","0.1379","2.9229e-002","2038.8",
"622.0","0.1500","3.1777e-002","2189.0",
"623.0","0.1632","3.4578e-002","2350.5",
"624.0","0.1781","3.7743e-002","2530.4",
"625.0","0.1946","4.1245e-002","2728.8",
"626.0","0.2124","4.5014e-002","2931.4",
"627.0","0.2312","4.9003e-002","3140.9",
"628.0","0.2507","5.3124e-002","3361.6",
"629.0","0.2717","5.7580e-002","3597.7",
"630.0","0.2960","6.2725e-002","3844.8",
"631.0","0.3233","6.8501e-002","4106.0",
"632.0","0.3506","7.4299e-002","4376.3",
"633.0","0.3801","8.0554e-002","4660.3",
"634.0","0.4111","8.7115e-002","4956.3",
"635.0","0.4442","9.4140e-002","5268.9",
"636.0","0.4778","1.0124e-001","5584.4",
"637.0","0.5125","1.0861e-001","5907.9",
"638.0","0.5466","1.1583e-001","6227.5",
"639.0","0.5768","1.2224e-001","6517.0",
"640.0","0.6044","1.2808e-001","6775.4",
"641.0","0.6276","1.3299e-001","6886.1",
"642.0","0.6437","1.3641e-001","6938.9",
"643.0","0.6489","1.3752e-001","6953.8",
"644.0","0.6421","1.3606e-001","6849.7",
"645.0","0.6266","1.3279e-001","6637.8",
"646.0","0.5997","1.2707e-001","6309.9",
"647.0","0.5623","1.1915e-001","5871.8",
"648.0","0.5167","1.0949e-001","5354.9",
"649.0","0.4667","9.8899e-002","4807.6",
"650.0","0.4165","8.8260e-002","4244.0",
"651.0","0.3666","7.7684e-002","3693.2",
"652.0","0.3181","6.7408e-002","3169.7",
"653.0","0.2736","5.7986e-002","2697.4",
"654.0","0.2346","4.9711e-002","2285.5",
"655.0","0.2011","4.2608e-002","1936.3",
"656.0","0.1721","3.6459e-002","1640.4",
"657.0","0.1475","3.1252e-002","1394.9",
"658.0","0.1264","2.6782e-002","1185.8",
"659.0","0.1086","2.3023e-002","1008.8",
"660.0","0.0941","1.9944e-002","864.4",
"661.0","0.0820","1.7374e-002","743.4",
"662.0","0.0714","1.5125e-002","641.5",
"663.0","0.0627","1.3290e-002","557.1",
"664.0","0.0561","1.1890e-002","491.1",
"665.0","0.0498","1.0552e-002","437.3",
"666.0","0.0444","9.4075e-003","396.2",
"667.0","0.0405","8.5734e-003","368.6",
"668.0","0.0370","7.8347e-003","350.1",
"669.0","0.0342","7.2509e-003","342.1",
"670.0","0.0322","6.8318e-003","342.2",
"671.0","0.0310","6.5722e-003","350.6",
"672.0","0.0300","6.3554e-003","362.3",
"673.0","0.0293","6.2003e-003","376.8",
"674.0","0.0289","6.1137e-003","394.6",
"675.0","0.0291","6.1712e-003","415.4",
"676.0","0.0297","6.2857e-003","436.6",
"677.0","0.0301","6.3816e-003","453.8",
"678.0","0.0310","6.5674e-003","471.8",
"679.0","0.0321","6.8031e-003","488.7",
"680.0","0.0335","7.0991e-003","503.2",
"681.0","0.0349","7.3944e-003","514.3",
"682.0","0.0364","7.7178e-003","524.3",
"683.0","0.0384","8.1319e-003","535.4",
"684.0","0.0407","8.6236e-003","547.7",
"685.0","0.0432","9.1604e-003","559.3",
"686.0","0.0460","9.7510e-003","570.7",
"687.0","0.0490","1.0374e-002","584.1",
"688.0","0.0520","1.1009e-002","595.4",
"689.0","0.0548","1.1610e-002","605.9",
"690.0","0.0582","1.2327e-002","619.0",
"691.0","0.0625","1.3234e-002","637.8",
"692.0","0.0665","1.4084e-002","652.8",
"693.0","0.0710","1.5037e-002","672.7",
"694.0","0.0759","1.6094e-002","695.1",
"695.0","0.0809","1.7149e-002","715.3",
"696.0","0.0862","1.8275e-002","735.3",
"697.0","0.0922","1.9538e-002","758.3",
"698.0","0.0985","2.0870e-002","783.6",
"699.0","0.1051","2.2274e-002","808.6",
"700.0","0.1118","2.3701e-002","834.5",
"701.0","0.1187","2.5144e-002","859.6",
"702.0","0.1261","2.6723e-002","885.8",
"703.0","0.1343","2.8468e-002","918.2",
"704.0","0.1425","3.0204e-002","949.4",
"705.0","0.1507","3.1937e-002","975.0",
"706.0","0.1606","3.4039e-002","1009.4",
"707.0","0.1710","3.6236e-002","1046.6",
"708.0","0.1803","3.8214e-002","1078.5",
"709.0","0.1901","4.0288e-002","1108.8",
"710.0","0.2003","4.2436e-002","1141.2",
"711.0","0.2111","4.4730e-002","1174.0",
"712.0","0.2233","4.7321e-002","1208.4",
"713.0","0.2356","4.9928e-002","1245.2",
"714.0","0.2464","5.2214e-002","1276.1",
