"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"513.0","0.1669","2.1222e-002","3311.4",
"514.0","0.1691","2.1498e-002","3333.2",
"515.0","0.1718","2.1842e-002","3362.1",
"516.0","0.1740","2.2120e-002","3386.2",
"517.0","0.1767","2.2472e-002","3416.0",
"518.0","0.1785","2.2699e-002","3431.7",
"519.0","0.1806","2.2956e-002","3446.3",
"520.0","0.1832","2.3290e-002","3453.4",
"521.0","0.1854","2.3569e-002","3445.9",
"522.0","0.1879","2.3886e-002","3442.5",
"523.0","0.1901","2.4165e-002","3436.6",
"524.0","0.1917","2.4376e-002","3423.5",
"525.0","0.1942","2.4694e-002","3424.0",
"526.0","0.1964","2.4974e-002","3434.7",
"527.0","0.1977","2.5134e-002","3447.6",
"528.0","0.1991","2.5310e-002","3467.6",
"529.0","0.2006","2.5502e-002","3492.7",
"530.0","0.2015","2.5613e-002","3509.0",
"531.0","0.2028","2.5779e-002","3527.6",
"532.0","0.2042","2.5966e-002","3534.6",
"533.0","0.2061","2.6208e-002","3541.5",
"534.0","0.2072","2.6340e-002","3538.5",
"535.0","0.2073","2.6359e-002","3512.0",
"536.0","0.2085","2.6507e-002","3502.2",
"537.0","0.2095","2.6637e-002","3501.6",
"538.0","0.2098","2.6680e-002","3477.7",
"539.0","0.2100","2.6693e-002","3454.1",
"540.0","0.2105","2.6764e-002","3440.7",
"541.0","0.2112","2.6851e-002","3433.3",
"542.0","0.2114","2.6871e-002","3426.5",
"543.0","0.2116","2.6900e-002","3414.3",
"544.0","0.2121","2.6971e-002","3401.5",
"545.0","0.2121","2.6961e-002","3375.7",
"546.0","0.2120","2.6954e-002","3355.4",
"547.0","0.2128","2.7057e-002","3341.6",
"548.0","0.2118","2.6927e-002","3309.5",
"549.0","0.2111","2.6843e-002","3278.2",
"550.0","0.2117","2.6921e-002","3250.2",
"551.0","0.2109","2.6818e-002","3204.1",
"552.0","0.2106","2.6770e-002","3176.9",
"553.0","0.2103","2.6732e-002","3157.0",
"554.0","0.2095","2.6638e-002","3125.4",
"555.0","0.2089","2.6564e-002","3099.3",
"556.0","0.2084","2.6501e-002","3069.8",
"557.0","0.2081","2.6458e-002","3044.1",
"558.0","0.2073","2.6350e-002","3012.2",
"559.0","0.2075","2.6386e-002","2985.5",
"560.0","0.2068","2.6291e-002","2955.0",
"561.0","0.2057","2.6148e-002","2923.1",
"562.0","0.2045","2.6002e-002","2891.7",
"563.0","0.2040","2.5937e-002","2861.7",
"564.0","0.2031","2.5826e-002","2826.3",
"565.0","0.2013","2.5587e-002","2784.5",
"566.0","0.2009","2.5546e-002","2768.1",
"567.0","0.1998","2.5401e-002","2746.9",
"568.0","0.1986","2.5256e-002","2712.0",
"569.0","0.1982","2.5203e-002","2681.1",
"570.0","0.1975","2.5110e-002","2650.3",
"571.0","0.1957","2.4886e-002","2606.7",
"572.0","0.1947","2.4753e-002","2570.4",
"573.0","0.1934","2.4593e-002","2530.3",
"574.0","0.1915","2.4345e-002","2488.2",
"575.0","0.1900","2.4151e-002","2450.4",
"576.0","0.1894","2.4084e-002","2420.4",
"577.0","0.1872","2.3796e-002","2378.8",
"578.0","0.1849","2.3507e-002","2334.7",
"579.0","0.1837","2.3351e-002","2301.4",
"580.0","0.1832","2.3298e-002","2278.2",
"581.0","0.1816","2.3092e-002","2238.9",
"582.0","0.1798","2.2863e-002","2197.9",
"583.0","0.1782","2.2660e-002","2160.1",
"584.0","0.1770","2.2503e-002","2120.7",
"585.0","0.1746","2.2198e-002","2074.9",
"586.0","0.1727","2.1957e-002","2027.5",
"587.0","0.1713","2.1777e-002","1986.7",
"588.0","0.1692","2.1510e-002","1938.8",
"589.0","0.1683","2.1394e-002","1901.1",
"590.0","0.1670","2.1236e-002","1869.6",
"591.0","0.1653","2.1012e-002","1831.9",
"592.0","0.1638","2.0823e-002","1799.7",
"593.0","0.1616","2.0551e-002","1766.5",
"594.0","0.1596","2.0289e-002","1730.9",
"595.0","0.1579","2.0079e-002","1700.6",
"596.0","0.1559","1.9824e-002","1670.8",
"597.0","0.1540","1.9574e-002","1640.7",
"598.0","0.1520","1.9323e-002","1610.1",
"599.0","0.1501","1.9080e-002","1578.0",
"600.0","0.1489","1.8928e-002","1548.6",
"601.0","0.1470","1.8686e-002","1519.7",
"602.0","0.1443","1.8345e-002","1481.3",
"603.0","0.1423","1.8086e-002","1444.5",
"604.0","0.1408","1.7902e-002","1415.0",
"605.0","0.1398","1.7778e-002","1386.8",
"606.0","0.1365","1.7352e-002","1341.4",
"607.0","0.1343","1.7080e-002","1308.6",
"608.0","0.1330","1.6911e-002","1283.4",
"609.0","0.1315","1.6713e-002","1255.1",
"610.0","0.1295","1.6458e-002","1225.1",
"611.0","0.1272","1.6173e-002","1194.5",
"612.0","0.1253","1.5929e-002","1167.8",
"613.0","0.1231","1.5657e-002","1139.1",
"614.0","0.1213","1.5427e-002","1109.6",
"615.0","0.1202","1.5279e-002","1085.5",
"616.0","0.1177","1.4966e-002","1055.3",
"617.0","0.1155","1.4691e-002","1028.5",
"618.0","0.1136","1.4445e-002","1003.5",
"619.0","0.1118","1.4213e-002","975.7",
"620.0","0.1101","1.4000e-002","952.8",
"621.0","0.1077","1.3698e-002","926.7",
"622.0","0.1061","1.3485e-002","904.2",
"623.0","0.1047","1.3315e-002","884.1",
"624.0","0.1033","1.3136e-002","863.2",
"625.0","0.1017","1.2932e-002","841.6",
"626.0","0.1003","1.2756e-002","820.0",
"627.0","0.0992","1.2607e-002","800.1",
