WL(nm)	PL	PE(mW/nm)
645	0.0020	0.5336
646	0.0019	0.4897
647	0.0018	0.4707
648	0.0018	0.4669
649	0.0018	0.4787
650	0.0017	0.4548
651	0.0017	0.4493
652	0.0016	0.4092
653	0.0016	0.4083
654	0.0015	0.3845
655	0.0014	0.3695
656	0.0014	0.3629
657	0.0013	0.3530
658	0.0014	0.3555
659	0.0013	0.3468
660	0.0011	0.2806
661	0.0011	0.2853
662	0.0010	0.2693
663	0.0010	0.2495
664	0.0010	0.2548
665	0.0008	0.2229
666	0.0009	0.2346
667	0.0009	0.2350
668	0.0009	0.2273
669	0.0009	0.2283
670	0.0008	0.2104
671	0.0008	0.2139
672	0.0007	0.1850
673	0.0008	0.2002
674	0.0007	0.1833
675	0.0007	0.1929
676	0.0008	0.1984
677	0.0007	0.1762
678	0.0006	0.1706
679	0.0006	0.1594
680	0.0006	0.1679
681	0.0006	0.1594
682	0.0006	0.1535
683	0.0005	0.1388
684	0.0006	0.1447
685	0.0006	0.1500
686	0.0006	0.1509
687	0.0006	0.1549
688	0.0005	0.1287
689	0.0005	0.1359
690	0.0005	0.1249
691	0.0005	0.1259
692	0.0005	0.1269
693	0.0005	0.1208
694	0.0005	0.1192
695	0.0004	0.1052
696	0.0004	0.1071
697	0.0004	0.1054
698	0.0004	0.1094
699	0.0004	0.0945
700	0.0004	0.1013
701	0.0004	0.1057
702	0.0004	0.0962
703	0.0003	0.0849
704	0.0003	0.0821
705	0.0003	0.0764
706	0.0003	0.0854
707	0.0003	0.0722
708	0.0003	0.0793
709	0.0003	0.0759
710	0.0003	0.0715
711	0.0003	0.0759
712	0.0003	0.0719
713	0.0003	0.0713
714	0.0002	0.0597
715	0.0002	0.0583
716	0.0003	0.0678
717	0.0002	0.0627
718	0.0002	0.0591
719	0.0002	0.0514
720	0.0003	0.0743
721	0.0002	0.0640
722	0.0003	0.0668
723	0.0001	0.0391
724	0.0002	0.0630
725	0.0002	0.0428
726	0.0002	0.0407
727	0.0002	0.0481
728	0.0002	0.0411
729	0.0001	0.0316
730	0.0002	0.0425
731	0.0002	0.0440
732	0.0002	0.0439
733	0.0002	0.0458
734	0.0002	0.0481
735	0.0002	0.0428
736	0.0001	0.0379
737	0.0002	0.0404
738	0.0001	0.0285
739	0.0002	0.0427
740	0.0001	0.0217
741	0.0001	0.0229
742	0.0001	0.0252
743	0.0001	0.0198
744	0.0002	0.0404
745	0.0001	0.0144
746	0.0001	0.0147
747	0.0001	0.0274
748	0.0000	0.0107
749	0.0001	0.0219
750	0.0001	0.0322
751	0.0001	0.0228
752	0.0001	0.0149
753	0.0000	0.0023
754	0.0000	0.0107
755	0.0000	0.0122
756	0.0001	0.0235
757	0.0000	0.0063
758	0.0000	0.0077
759	0.0001	0.0206
760	0.0001	0.0173
761	0.0000	0.0080
762	0.0000	0.0027
763	0.0001	0.0139
764	0.0000	0.0100
765	0.0000	0.0000
766	0.0000	0.0000
767	0.0000	0.0015
768	0.0000	0.0015
769	0.0000	0.0106
770	0.0000	0.0000
771	0.0000	0.0000
772	0.0000	0.0111
773	0.0000	0.0000
774	0.0000	0.0065
775	0.0000	0.0000
776	0.0000	0.0000
777	0.0000	0.0000
778	0.0000	0.0000
779	0.0000	0.0000
780	0.0000	0.0000
781	0.0000	0.0000
782	0.0000	0.0000
783	0.0000	0.0000
784	0.0000	0.0000
