WL(nm)	PL	PE(mW/nm)
645	0.4546	292.3873
646	0.4117	264.8368
647	0.3727	239.7524
648	0.3275	210.6301
649	0.2831	182.0906
650	0.2417	155.4558
651	0.2050	131.8557
652	0.1704	109.6315
653	0.1429	91.8914
654	0.1192	76.6867
655	0.0997	64.1154
656	0.0832	53.4954
657	0.0700	45.0547
658	0.0585	37.6408
659	0.0484	31.1130
660	0.0384	24.6812
661	0.0321	20.6433
662	0.0267	17.2014
663	0.0227	14.6226
664	0.0190	12.2458
665	0.0161	10.3362
666	0.0139	8.9333
667	0.0117	7.5471
668	0.0103	6.6372
669	0.0090	5.7647
670	0.0075	4.8338
671	0.0066	4.2240
672	0.0058	3.7560
673	0.0050	3.2111
674	0.0045	2.8770
675	0.0038	2.4443
676	0.0034	2.2072
677	0.0029	1.8925
678	0.0027	1.7351
679	0.0023	1.4944
680	0.0022	1.3908
681	0.0019	1.2122
682	0.0017	1.0844
683	0.0015	0.9821
684	0.0014	0.9090
685	0.0013	0.8518
686	0.0012	0.7804
687	0.0011	0.7088
688	0.0010	0.6738
689	0.0010	0.6195
690	0.0009	0.5818
691	0.0009	0.5499
692	0.0008	0.5228
693	0.0008	0.5019
694	0.0007	0.4731
695	0.0007	0.4639
696	0.0007	0.4372
697	0.0006	0.4153
698	0.0006	0.4086
699	0.0006	0.3787
700	0.0006	0.3780
701	0.0006	0.3755
702	0.0005	0.3520
703	0.0005	0.3380
704	0.0005	0.3243
705	0.0005	0.3202
706	0.0005	0.3149
707	0.0005	0.2911
708	0.0005	0.3135
709	0.0005	0.2967
710	0.0004	0.2791
711	0.0004	0.2740
712	0.0005	0.2936
713	0.0004	0.2669
714	0.0004	0.2775
715	0.0004	0.2662
716	0.0004	0.2661
717	0.0004	0.2528
718	0.0004	0.2544
719	0.0004	0.2447
720	0.0004	0.2406
721	0.0004	0.2494
722	0.0004	0.2438
723	0.0004	0.2472
724	0.0004	0.2376
725	0.0004	0.2329
726	0.0004	0.2313
727	0.0004	0.2348
728	0.0003	0.2170
729	0.0003	0.2027
730	0.0003	0.2241
731	0.0003	0.2239
732	0.0003	0.2014
733	0.0004	0.2477
734	0.0003	0.2188
735	0.0003	0.2176
736	0.0003	0.2170
737	0.0003	0.2118
738	0.0003	0.2092
739	0.0003	0.1966
740	0.0003	0.2195
741	0.0003	0.2181
742	0.0003	0.2246
743	0.0003	0.2094
744	0.0003	0.1933
745	0.0003	0.1797
746	0.0004	0.2256
747	0.0003	0.2072
748	0.0003	0.2075
749	0.0004	0.2483
750	0.0003	0.1848
751	0.0003	0.2108
752	0.0003	0.2212
753	0.0004	0.2408
754	0.0004	0.2296
755	0.0004	0.2333
756	0.0004	0.2481
757	0.0003	0.2074
758	0.0003	0.1914
759	0.0003	0.1880
760	0.0003	0.2081
761	0.0004	0.2399
762	0.0004	0.2602
763	0.0003	0.2114
764	0.0004	0.2601
765	0.0003	0.1966
766	0.0004	0.2411
767	0.0004	0.2303
768	0.0004	0.2286
769	0.0004	0.2466
770	0.0004	0.2564
771	0.0003	0.2207
772	0.0004	0.2513
773	0.0004	0.2647
774	0.0004	0.2870
775	0.0004	0.2392
776	0.0004	0.2339
777	0.0004	0.2465
778	0.0005	0.3008
779	0.0005	0.2971
780	0.0004	0.2448
781	0.0004	0.2624
782	0.0004	0.2767
783	0.0004	0.2303
784	0.0004	0.2347
785	0.0004	0.2333
786	0.0004	0.2674
787	0.0004	0.2821
788	0.0005	0.3345
789	0.0005	0.3267
790	0.0005	0.3086
791	0.0004	0.2787
792	0.0005	0.3276
793	0.0004	0.2608
794	0.0005	0.2993
795	0.0005	0.2941
796	0.0005	0.3241
797	0.0004	0.2687
798	0.0005	0.3175
799	0.0005	0.3346
800	0.0004	0.2524
