"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"517.0","0.0000","4.7879e-006","60.0",
"518.0","0.0000","4.1173e-006","59.4",
"519.0","0.0000","4.3505e-006","59.6",
"520.0","0.0000","4.9205e-006","60.0",
"521.0","0.0000","5.7189e-006","60.6",
"522.0","0.0000","4.8401e-006","59.8",
"523.0","0.0000","4.6057e-006","59.6",
"524.0","0.0000","5.2227e-006","60.0",
"525.0","0.0000","6.0730e-006","60.6",
"526.0","0.0000","5.8865e-006","60.4",
"527.0","0.0000","6.1376e-006","60.6",
"528.0","0.0000","6.7219e-006","61.0",
"529.0","0.0000","7.5018e-006","61.6",
"530.0","0.0000","7.2712e-006","61.4",
"531.0","0.0000","7.5103e-006","61.6",
"532.0","0.0000","7.3280e-006","61.4",
"533.0","0.0000","6.8201e-006","61.0",
"534.0","0.0000","8.4574e-006","62.2",
"535.0","0.0001","1.0475e-005","63.6",
"536.0","0.0001","1.1956e-005","64.6",
"537.0","0.0001","1.1787e-005","64.4",
"538.0","0.0001","1.2114e-005","64.6",
"539.0","0.0001","1.4448e-005","66.2",
"540.0","0.0001","1.4895e-005","66.4",
"541.0","0.0001","1.3541e-005","65.4",
"542.0","0.0001","1.6351e-005","67.4",
"543.0","0.0001","1.7142e-005","67.9",
"544.0","0.0001","1.8585e-005","68.8",
"545.0","0.0001","1.9691e-005","69.4",
"546.0","0.0001","2.2641e-005","71.3",
"547.0","0.0001","2.5288e-005","73.0",
"548.0","0.0001","2.7157e-005","74.2",
"549.0","0.0002","3.2111e-005","77.3",
"550.0","0.0002","3.6793e-005","80.2",
"551.0","0.0002","4.2062e-005","83.3",
"552.0","0.0003","4.7643e-005","86.8",
"553.0","0.0003","5.4389e-005","90.9",
"554.0","0.0003","5.8942e-005","93.6",
"555.0","0.0003","6.2700e-005","95.8",
"556.0","0.0004","7.0729e-005","100.5",
"557.0","0.0004","7.6117e-005","103.6",
"558.0","0.0004","8.2042e-005","107.0",
"559.0","0.0005","9.3927e-005","113.7",
"560.0","0.0005","9.9960e-005","117.0",
"561.0","0.0006","1.1112e-004","123.4",
"562.0","0.0007","1.2511e-004","131.5",
"563.0","0.0007","1.3812e-004","138.7",
"564.0","0.0008","1.5667e-004","149.0",
"565.0","0.0009","1.7401e-004","158.7",
"566.0","0.0010","1.8344e-004","163.8",
"567.0","0.0011","2.0280e-004","175.0",
"568.0","0.0012","2.2954e-004","189.6",
"569.0","0.0014","2.5941e-004","205.6",
"570.0","0.0016","2.8983e-004","221.8",
"571.0","0.0017","3.2369e-004","239.6",
"572.0","0.0019","3.5899e-004","257.9",
"573.0","0.0021","3.9082e-004","273.7",
"574.0","0.0023","4.3331e-004","295.6",
"575.0","0.0026","4.8693e-004","323.2",
"576.0","0.0029","5.3456e-004","346.5",
"577.0","0.0032","5.9710e-004","378.7",
"578.0","0.0037","6.8096e-004","421.3",
"579.0","0.0041","7.5814e-004","459.5",
"580.0","0.0045","8.3207e-004","495.3",
"581.0","0.0050","9.2266e-004","538.7",
"582.0","0.0055","1.0202e-003","585.0",
"583.0","0.0061","1.1305e-003","637.0",
"584.0","0.0068","1.2580e-003","694.7",
"585.0","0.0075","1.3901e-003","755.8",
"586.0","0.0083","1.5427e-003","822.5",
"587.0","0.0092","1.7089e-003","894.5",
"588.0","0.0102","1.8998e-003","976.1",
"589.0","0.0115","2.1315e-003","1073.1",
"590.0","0.0127","2.3598e-003","1171.3",
"591.0","0.0141","2.6137e-003","1278.3",
"592.0","0.0157","2.9171e-003","1407.8",
"593.0","0.0174","3.2201e-003","1539.2",
"594.0","0.0192","3.5613e-003","1682.7",
"595.0","0.0213","3.9465e-003","1844.7",
"596.0","0.0235","4.3497e-003","2016.6",
"597.0","0.0259","4.8006e-003","2206.5",
"598.0","0.0286","5.2940e-003","2412.0",
"599.0","0.0316","5.8537e-003","2639.3",
"600.0","0.0349","6.4619e-003","2874.9",
"601.0","0.0381","7.0627e-003","3117.4",
"602.0","0.0418","7.7457e-003","3384.7",
"603.0","0.0461","8.5425e-003","3683.8",
"604.0","0.0507","9.3901e-003","3999.1",
"605.0","0.0559","1.0370e-002","4349.1",
"606.0","0.0611","1.1333e-002","4700.2",
"607.0","0.0666","1.2337e-002","5060.3",
"608.0","0.0727","1.3482e-002","5468.4",
"609.0","0.0795","1.4738e-002","5903.8",
"610.0","0.0869","1.6108e-002","6384.5",
