WL(nm)	PL	PE(mW/nm)
645	0.3311	50.9393
646	0.3270	50.3143
647	0.3189	49.0703
648	0.3136	48.2454
649	0.3049	46.9071
650	0.2998	46.1238
651	0.2949	45.3806
652	0.2881	44.3320
653	0.2806	43.1732
654	0.2761	42.4879
655	0.2721	41.8612
656	0.2663	40.9735
657	0.2587	39.8048
658	0.2572	39.5698
659	0.2485	38.2300
660	0.2404	36.9844
661	0.2327	35.8062
662	0.2287	35.1844
663	0.2238	34.4349
664	0.2195	33.7772
665	0.2162	33.2682
666	0.2114	32.5252
667	0.2068	31.8223
668	0.2012	30.9600
669	0.1950	30.0089
670	0.1912	29.4143
671	0.1885	29.0063
672	0.1822	28.0405
673	0.1796	27.6312
674	0.1760	27.0723
675	0.1714	26.3676
676	0.1674	25.7557
677	0.1631	25.0996
678	0.1615	24.8459
679	0.1579	24.3013
680	0.1555	23.9191
681	0.1505	23.1553
682	0.1473	22.6591
683	0.1444	22.2206
684	0.1407	21.6471
685	0.1380	21.2282
686	0.1349	20.7508
687	0.1317	20.2692
688	0.1299	19.9877
689	0.1263	19.4390
690	0.1238	19.0441
691	0.1199	18.4427
692	0.1174	18.0672
693	0.1157	17.8038
694	0.1128	17.3588
695	0.1101	16.9378
696	0.1072	16.4960
697	0.1044	16.0565
698	0.1031	15.8705
699	0.1001	15.4064
700	0.0982	15.1084
701	0.0954	14.6775
702	0.0938	14.4321
703	0.0908	13.9782
704	0.0891	13.7048
705	0.0869	13.3744
706	0.0860	13.2390
707	0.0834	12.8332
708	0.0819	12.5994
709	0.0806	12.4072
710	0.0774	11.9063
711	0.0753	11.5821
712	0.0745	11.4587
713	0.0727	11.1785
714	0.0705	10.8445
715	0.0683	10.5139
716	0.0674	10.3659
717	0.0659	10.1466
718	0.0630	9.6991
719	0.0624	9.6042
720	0.0610	9.3887
721	0.0590	9.0781
722	0.0583	8.9690
723	0.0561	8.6315
724	0.0553	8.5129
725	0.0542	8.3429
726	0.0511	7.8564
727	0.0514	7.9098
728	0.0498	7.6619
729	0.0489	7.5254
730	0.0476	7.3193
731	0.0463	7.1258
732	0.0451	6.9455
733	0.0440	6.7771
734	0.0435	6.6930
735	0.0414	6.3668
736	0.0412	6.3386
737	0.0401	6.1774
738	0.0384	5.9036
739	0.0386	5.9464
740	0.0377	5.8019
741	0.0366	5.6380
742	0.0364	5.5976
743	0.0349	5.3700
744	0.0342	5.2674
745	0.0329	5.0588
746	0.0319	4.9099
747	0.0319	4.9142
748	0.0316	4.8678
749	0.0304	4.6790
750	0.0295	4.5346
751	0.0303	4.6578
752	0.0279	4.2914
753	0.0283	4.3577
754	0.0263	4.0515
755	0.0259	3.9890
756	0.0246	3.7851
757	0.0244	3.7485
758	0.0245	3.7703
759	0.0252	3.8724
760	0.0226	3.4755
761	0.0236	3.6300
762	0.0223	3.4365
763	0.0224	3.4465
764	0.0213	3.2827
765	0.0200	3.0787
766	0.0199	3.0674
767	0.0200	3.0843
768	0.0193	2.9629
769	0.0186	2.8613
770	0.0183	2.8152
771	0.0176	2.7133
772	0.0173	2.6600
773	0.0171	2.6362
774	0.0168	2.5913
775	0.0167	2.5753
776	0.0160	2.4660
777	0.0156	2.3997
778	0.0147	2.2600
779	0.0142	2.1783
780	0.0146	2.2477
781	0.0134	2.0606
782	0.0135	2.0743
783	0.0134	2.0593
784	0.0134	2.0658
785	0.0129	1.9871
786	0.0128	1.9671
787	0.0121	1.8663
788	0.0120	1.8508
789	0.0120	1.8478
790	0.0122	1.8846
791	0.0110	1.6861
792	0.0112	1.7212
793	0.0113	1.7416
794	0.0113	1.7456
795	0.0104	1.6036
796	0.0102	1.5766
797	0.0097	1.4956
798	0.0091	1.4069
799	0.0095	1.4615
800	0.0094	1.4508
