WL(nm)	PL	PE(mW/nm)
380	0.0000	0.0047
381	0.0000	0.0078
382	0.0000	0.0046
383	0.0000	0.0051
384	0.0000	0.0093
385	0.0000	0.0120
386	0.0000	0.0068
387	0.0000	0.0021
388	0.0000	0.0024
389	0.0000	0.0073
390	0.0000	0.0077
391	0.0000	0.0076
392	0.0000	0.0031
393	0.0000	0.0036
394	0.0000	0.0055
395	0.0000	0.0040
396	0.0000	0.0022
397	0.0000	0.0037
398	0.0000	0.0014
399	0.0000	0.0034
400	0.0000	0.0000
401	0.0000	0.0018
402	0.0000	0.0007
403	0.0000	0.0025
404	0.0000	0.0026
405	0.0000	0.0026
406	0.0000	0.0020
407	0.0000	0.0026
408	0.0000	0.0007
409	0.0000	0.0021
410	0.0000	0.0012
411	0.0000	0.0016
412	0.0000	0.0020
413	0.0000	0.0010
414	0.0000	0.0009
415	0.0000	0.0018
416	0.0000	0.0030
417	0.0000	0.0029
418	0.0000	0.0016
419	0.0000	0.0029
420	0.0000	0.0017
421	0.0000	0.0028
422	0.0000	0.0029
423	0.0000	0.0011
424	0.0000	0.0013
425	0.0000	0.0022
426	0.0000	0.0026
427	0.0000	0.0012
428	0.0000	0.0015
429	0.0000	0.0006
430	0.0000	0.0018
431	0.0000	0.0020
432	0.0000	0.0020
433	0.0000	0.0024
434	0.0000	0.0016
435	0.0000	0.0018
436	0.0000	0.0024
437	0.0000	0.0018
438	0.0000	0.0019
439	0.0000	0.0019
440	0.0000	0.0004
441	0.0000	0.0022
442	0.0000	0.0011
443	0.0000	0.0019
444	0.0000	0.0011
445	0.0000	0.0016
446	0.0000	0.0017
447	0.0000	0.0024
448	0.0000	0.0013
449	0.0000	0.0022
450	0.0000	0.0012
451	0.0000	0.0018
452	0.0000	0.0021
453	0.0000	0.0019
454	0.0000	0.0025
455	0.0000	0.0026
456	0.0000	0.0025
457	0.0000	0.0022
458	0.0000	0.0021
459	0.0000	0.0017
460	0.0000	0.0023
461	0.0000	0.0023
462	0.0000	0.0017
463	0.0000	0.0038
464	0.0000	0.0023
465	0.0000	0.0025
466	0.0000	0.0018
467	0.0000	0.0037
468	0.0000	0.0031
469	0.0000	0.0021
470	0.0000	0.0085
471	0.0000	0.0084
472	0.0000	0.0071
473	0.0000	0.0082
474	0.0000	0.0076
475	0.0000	0.0070
476	0.0000	0.0063
477	0.0000	0.0088
478	0.0000	0.0072
479	0.0000	0.0080
480	0.0000	0.0080
481	0.0000	0.0083
482	0.0000	0.0096
483	0.0000	0.0072
484	0.0000	0.0076
485	0.0000	0.0063
486	0.0000	0.0095
487	0.0000	0.0070
488	0.0000	0.0083
489	0.0000	0.0074
