"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"513.0","0.1995","2.3894e-002","17972.0",
"514.0","0.2069","2.4771e-002","18512.7",
"515.0","0.2138","2.5597e-002","18994.8",
"516.0","0.2202","2.6367e-002","19458.1",
"517.0","0.2274","2.7230e-002","19957.5",
"518.0","0.2335","2.7956e-002","20377.4",
"519.0","0.2389","2.8610e-002","20709.7",
"520.0","0.2446","2.9292e-002","20941.6",
"521.0","0.2506","3.0001e-002","21147.2",
"522.0","0.2558","3.0625e-002","21279.8",
"523.0","0.2603","3.1171e-002","21371.0",
"524.0","0.2647","3.1691e-002","21455.7",
"525.0","0.2691","3.2228e-002","21541.9",
"526.0","0.2735","3.2753e-002","21715.8",
"527.0","0.2767","3.3137e-002","21913.3",
"528.0","0.2800","3.3527e-002","22145.9",
"529.0","0.2831","3.3900e-002","22387.1",
"530.0","0.2858","3.4223e-002","22608.4",
"531.0","0.2888","3.4583e-002","22820.7",
"532.0","0.2921","3.4971e-002","22956.8",
"533.0","0.2949","3.5314e-002","23013.3",
"534.0","0.2967","3.5525e-002","23015.5",
"535.0","0.2987","3.5766e-002","22978.4",
"536.0","0.3004","3.5971e-002","22916.8",
"537.0","0.3008","3.6015e-002","22828.2",
"538.0","0.3024","3.6214e-002","22758.0",
"539.0","0.3044","3.6444e-002","22733.5",
"540.0","0.3056","3.6592e-002","22676.2",
"541.0","0.3064","3.6691e-002","22613.8",
"542.0","0.3068","3.6731e-002","22576.5",
"543.0","0.3080","3.6885e-002","22564.2",
"544.0","0.3081","3.6895e-002","22426.7",
"545.0","0.3094","3.7043e-002","22350.7",
"546.0","0.3098","3.7101e-002","22255.2",
"547.0","0.3100","3.7115e-002","22086.6",
"548.0","0.3086","3.6957e-002","21882.6",
"549.0","0.3083","3.6914e-002","21714.6",
"550.0","0.3097","3.7087e-002","21564.7",
"551.0","0.3099","3.7105e-002","21345.6",
"552.0","0.3091","3.7008e-002","21143.7",
"553.0","0.3078","3.6858e-002","20954.8",
"554.0","0.3075","3.6816e-002","20790.2",
"555.0","0.3062","3.6662e-002","20586.2",
"556.0","0.3056","3.6598e-002","20398.9",
"557.0","0.3055","3.6586e-002","20251.8",
"558.0","0.3043","3.6436e-002","20036.2",
"559.0","0.3045","3.6456e-002","19838.5",
"560.0","0.3030","3.6285e-002","19611.1",
"561.0","0.3013","3.6074e-002","19388.5",
"562.0","0.2999","3.5905e-002","19194.0",
"563.0","0.2994","3.5853e-002","19011.4",
"564.0","0.2994","3.5854e-002","18852.5",
"565.0","0.2984","3.5729e-002","18676.4",
"566.0","0.2963","3.5481e-002","18466.0",
"567.0","0.2939","3.5196e-002","18278.6",
"568.0","0.2931","3.5099e-002","18096.1",
"569.0","0.2919","3.4958e-002","17851.1",
"570.0","0.2904","3.4776e-002","17615.7",
"571.0","0.2892","3.4625e-002","17399.7",
"572.0","0.2869","3.4358e-002","17112.5",
"573.0","0.2852","3.4149e-002","16846.8",
"574.0","0.2829","3.3870e-002","16592.8",
"575.0","0.2810","3.3651e-002","16359.9",
"576.0","0.2800","3.3526e-002","16140.8",
"577.0","0.2773","3.3203e-002","15894.2",
"578.0","0.2757","3.3013e-002","15694.4",
"579.0","0.2740","3.2809e-002","15472.8",
"580.0","0.2715","3.2510e-002","15209.2",
"581.0","0.2703","3.2369e-002","15007.5",
"582.0","0.2687","3.2179e-002","14787.5",
"583.0","0.2669","3.1961e-002","14557.5",
"584.0","0.2657","3.1811e-002","14318.0",
"585.0","0.2629","3.1475e-002","14043.6",
"586.0","0.2614","3.1295e-002","13786.2",
"587.0","0.2598","3.1105e-002","13530.3",
"588.0","0.2582","3.0918e-002","13278.5",
"589.0","0.2575","3.0834e-002","13048.3",
"590.0","0.2560","3.0655e-002","12846.7",
"591.0","0.2546","3.0486e-002","12644.3",
"592.0","0.2528","3.0274e-002","12441.8",
"593.0","0.2511","3.0072e-002","12284.0",
"594.0","0.2513","3.0093e-002","12191.8",
"595.0","0.2516","3.0129e-002","12111.6",
"596.0","0.2499","2.9923e-002","11962.8",
"597.0","0.2489","2.9805e-002","11843.1",
"598.0","0.2487","2.9779e-002","11755.5",
"599.0","0.2490","2.9816e-002","11673.0",
"600.0","0.2494","2.9859e-002","11557.0",
"601.0","0.2487","2.9775e-002","11448.8",
"602.0","0.2492","2.9844e-002","11379.9",
"603.0","0.2507","3.0019e-002","11311.6",
"604.0","0.2521","3.0184e-002","11246.5",
"605.0","0.2539","3.0406e-002","11171.6",
"606.0","0.2558","3.0625e-002","11134.9",
"607.0","0.2589","3.1005e-002","11159.3",
"608.0","0.2617","3.1333e-002","11160.7",
"609.0","0.2651","3.1746e-002","11176.7",
"610.0","0.2688","3.2186e-002","11219.3",
"611.0","0.2730","3.2686e-002","11289.7",
"612.0","0.2768","3.3150e-002","11352.4",
"613.0","0.2828","3.3861e-002","11490.5",
"614.0","0.2902","3.4748e-002","11639.8",
"615.0","0.2987","3.5766e-002","11818.4",
"616.0","0.3069","3.6747e-002","12032.6",
"617.0","0.3148","3.7689e-002","12233.3",
"618.0","0.3257","3.8996e-002","12538.2",
"619.0","0.3383","4.0513e-002","12847.9",
"620.0","0.3513","4.2060e-002","13204.0",
"621.0","0.3645","4.3643e-002","13591.0",
"622.0","0.3801","4.5517e-002","14024.3",
"623.0","0.3989","4.7760e-002","14545.7",
"624.0","0.4199","5.0277e-002","15126.1",
"625.0","0.4416","5.2881e-002","15724.6",
"626.0","0.4661","5.5816e-002","16358.6",
"627.0","0.4938","5.9134e-002","17077.7",
"628.0","0.5219","6.2488e-002","17834.7",
"629.0","0.5509","6.5960e-002","18607.5",
"630.0","0.5862","7.0197e-002","19445.2",
"631.0","0.6247","7.4800e-002","20279.5",
"632.0","0.6636","7.9455e-002","21182.2",
"633.0","0.7037","8.4258e-002","22079.6",
"634.0","0.7473","8.9477e-002","23071.2",
"635.0","0.7925","9.4899e-002","24086.7",
"636.0","0.8361","1.0011e-001","25054.1",
"637.0","0.8802","1.0540e-001","26024.0",
"638.0","0.9209","1.1026e-001","26921.6",
"639.0","0.9539","1.1422e-001","27664.1",
"640.0","0.9807","1.1742e-001","28227.1",
"641.0","0.9959","1.1925e-001","28067.6",
"642.0","1.0000","1.1974e-001","27684.0",
"643.0","0.9845","1.1788e-001","27095.1",
"644.0","0.9515","1.1394e-001","26071.2",
"645.0","0.9073","1.0864e-001","24680.7",
"646.0","0.8489","1.0165e-001","22933.2",
"647.0","0.7822","9.3666e-002","20963.4",
"648.0","0.7098","8.4995e-002","18864.9",
"649.0","0.6359","7.6138e-002","16782.8",
"650.0","0.5671","6.7904e-002","14788.8",
"651.0","0.5007","5.9949e-002","12889.8",
"652.0","0.4409","5.2792e-002","11204.4",
"653.0","0.3883","4.6496e-002","9739.0",
"654.0","0.3428","4.1053e-002","8472.2",
"655.0","0.3035","3.6342e-002","7387.0",
"656.0","0.2706","3.2408e-002","6492.4",
"657.0","0.2417","2.8942e-002","5722.6",
"658.0","0.2162","2.5894e-002","5046.9",
"659.0","0.1966","2.3537e-002","4505.9",
"660.0","0.1804","2.1595e-002","4053.9",
"661.0","0.1663","1.9913e-002","3653.6",
"662.0","0.1532","1.8349e-002","3299.3",
"663.0","0.1422","1.7026e-002","2985.8",
"664.0","0.1343","1.6085e-002","2742.0",
"665.0","0.1263","1.5118e-002","2548.6",
"666.0","0.1184","1.4174e-002","2394.2",
"667.0","0.1122","1.3438e-002","2290.9",
"668.0","0.1071","1.2818e-002","2251.4",
"669.0","0.1033","1.2366e-002","2281.5",
"670.0","0.1001","1.1991e-002","2347.0",
"671.0","0.0976","1.1681e-002","2443.6",
"672.0","0.0958","1.1468e-002","2577.7",
"673.0","0.0944","1.1301e-002","2723.1",
"674.0","0.0927","1.1098e-002","2859.1",
"675.0","0.0921","1.1026e-002","2984.9",
"676.0","0.0920","1.1018e-002","3099.6",
"677.0","0.0924","1.1066e-002","3203.4",
"678.0","0.0928","1.1113e-002","3266.3",
"679.0","0.0931","1.1153e-002","3293.7",
"680.0","0.0939","1.1247e-002","3290.4",
"681.0","0.0955","1.1434e-002","3291.2",
"682.0","0.0975","1.1670e-002","3288.8",
"683.0","0.0996","1.1921e-002","3264.7",
"684.0","0.1013","1.2132e-002","3215.3",
"685.0","0.1039","1.2445e-002","3178.8",
"686.0","0.1066","1.2768e-002","3134.2",
"687.0","0.1105","1.3226e-002","3130.6",
"688.0","0.1144","1.3702e-002","3122.5",
"689.0","0.1174","1.4056e-002","3096.8",
"690.0","0.1218","1.4579e-002","3097.4",
"691.0","0.1267","1.5166e-002","3102.0",
"692.0","0.1323","1.5844e-002","3122.4",
"693.0","0.1374","1.6457e-002","3139.3",
"694.0","0.1432","1.7146e-002","3166.1",
"695.0","0.1493","1.7883e-002","3196.9",
"696.0","0.1561","1.8691e-002","3230.3",
"697.0","0.1648","1.9737e-002","3297.1",
"698.0","0.1736","2.0785e-002","3366.9",
"699.0","0.1817","2.1753e-002","3414.5",
"700.0","0.1901","2.2768e-002","3473.1",
"701.0","0.1997","2.3918e-002","3548.6",
