"Wavelength(nm)","Spectrum","Spectrum(W/nm)","AD Value",
"513.0","0.1607","2.3602e-002","3769.6",
"514.0","0.1623","2.3831e-002","3782.2",
"515.0","0.1641","2.4093e-002","3796.6",
"516.0","0.1660","2.4372e-002","3819.4",
"517.0","0.1681","2.4676e-002","3840.4",
"518.0","0.1696","2.4903e-002","3854.6",
"519.0","0.1708","2.5074e-002","3854.3",
"520.0","0.1733","2.5450e-002","3863.9",
"521.0","0.1755","2.5773e-002","3858.1",
"522.0","0.1767","2.5950e-002","3829.9",
"523.0","0.1783","2.6182e-002","3812.9",
"524.0","0.1803","2.6478e-002","3807.9",
"525.0","0.1825","2.6796e-002","3804.7",
"526.0","0.1840","2.7013e-002","3804.5",
"527.0","0.1851","2.7185e-002","3818.6",
"528.0","0.1864","2.7371e-002","3840.2",
"529.0","0.1879","2.7588e-002","3869.4",
"530.0","0.1891","2.7771e-002","3896.1",
"531.0","0.1903","2.7949e-002","3916.6",
"532.0","0.1918","2.8169e-002","3926.8",
"533.0","0.1929","2.8327e-002","3920.2",
"534.0","0.1937","2.8444e-002","3913.4",
"535.0","0.1947","2.8594e-002","3901.4",
"536.0","0.1958","2.8755e-002","3890.7",
"537.0","0.1958","2.8753e-002","3870.9",
"538.0","0.1964","2.8844e-002","3850.4",
"539.0","0.1967","2.8878e-002","3826.8",
"540.0","0.1976","2.9010e-002","3819.0",
"541.0","0.1983","2.9118e-002","3812.6",
"542.0","0.1982","2.9095e-002","3799.3",
"543.0","0.1982","2.9100e-002","3782.2",
"544.0","0.1987","2.9174e-002","3767.9",
"545.0","0.1993","2.9257e-002","3751.0",
"546.0","0.1988","2.9192e-002","3721.2",
"547.0","0.1989","2.9208e-002","3694.0",
"548.0","0.1988","2.9192e-002","3673.8",
"549.0","0.1987","2.9174e-002","3647.9",
"550.0","0.1984","2.9138e-002","3602.1",
"551.0","0.1980","2.9080e-002","3557.1",
"552.0","0.1977","2.9030e-002","3527.1",
"553.0","0.1973","2.8975e-002","3503.3",
"554.0","0.1969","2.8917e-002","3473.4",
"555.0","0.1963","2.8828e-002","3443.4",
"556.0","0.1961","2.8789e-002","3413.9",
"557.0","0.1957","2.8738e-002","3384.8",
"558.0","0.1947","2.8592e-002","3345.9",
"559.0","0.1945","2.8560e-002","3308.0",
"560.0","0.1937","2.8437e-002","3271.8",
"561.0","0.1931","2.8357e-002","3244.8",
"562.0","0.1921","2.8200e-002","3210.0",
"563.0","0.1917","2.8151e-002","3179.1",
"564.0","0.1915","2.8115e-002","3148.9",
"565.0","0.1903","2.7943e-002","3111.8",
"566.0","0.1888","2.7721e-002","3074.2",
"567.0","0.1873","2.7507e-002","3044.5",
"568.0","0.1868","2.7434e-002","3014.7",
"569.0","0.1863","2.7354e-002","2977.8",
"570.0","0.1855","2.7238e-002","2942.0",
"571.0","0.1846","2.7112e-002","2905.6",
"572.0","0.1836","2.6965e-002","2864.9",
"573.0","0.1822","2.6760e-002","2817.0",
"574.0","0.1812","2.6600e-002","2781.2",
"575.0","0.1801","2.6444e-002","2744.5",
"576.0","0.1792","2.6312e-002","2704.8",
"577.0","0.1778","2.6110e-002","2669.4",
"578.0","0.1761","2.5856e-002","2626.1",
"579.0","0.1747","2.5654e-002","2585.5",
"580.0","0.1739","2.5538e-002","2553.7",
"581.0","0.1732","2.5434e-002","2521.2",
"582.0","0.1722","2.5278e-002","2484.2",
"583.0","0.1706","2.5042e-002","2440.2",
"584.0","0.1693","2.4858e-002","2394.6",
"585.0","0.1679","2.4657e-002","2355.2",
"586.0","0.1671","2.4533e-002","2314.5",
"587.0","0.1664","2.4438e-002","2277.3",
"588.0","0.1657","2.4332e-002","2239.5",
"589.0","0.1651","2.4242e-002","2199.4",
"590.0","0.1635","2.4009e-002","2158.0",
"591.0","0.1633","2.3972e-002","2132.9",
"592.0","0.1629","2.3917e-002","2109.1",
"593.0","0.1617","2.3749e-002","2082.3",
"594.0","0.1615","2.3720e-002","2063.2",
"595.0","0.1613","2.3678e-002","2044.0",
"596.0","0.1604","2.3550e-002","2022.3",
"597.0","0.1599","2.3483e-002","2004.7",
"598.0","0.1593","2.3386e-002","1983.9",
"599.0","0.1597","2.3448e-002","1973.0",
"600.0","0.1603","2.3538e-002","1958.3",
"601.0","0.1603","2.3531e-002","1945.2",
"602.0","0.1607","2.3599e-002","1934.9",
"603.0","0.1613","2.3687e-002","1919.6",
"604.0","0.1624","2.3852e-002","1911.5",
"605.0","0.1644","2.4137e-002","1907.4",
"606.0","0.1654","2.4290e-002","1899.8",
"607.0","0.1669","2.4501e-002","1897.1",
"608.0","0.1690","2.4817e-002","1901.5",
"609.0","0.1709","2.5093e-002","1900.5",
"610.0","0.1736","2.5494e-002","1911.3",
"611.0","0.1770","2.5990e-002","1930.2",
"612.0","0.1798","2.6401e-002","1943.7",
"613.0","0.1830","2.6874e-002","1960.2",
"614.0","0.1878","2.7578e-002","1985.0",
"615.0","0.1935","2.8415e-002","2016.8",
"616.0","0.1992","2.9244e-002","2055.9",
"617.0","0.2047","3.0059e-002","2093.9",
"618.0","0.2110","3.0977e-002","2136.6",
"619.0","0.2187","3.2116e-002","2183.8",
"620.0","0.2268","3.3302e-002","2240.4",
"621.0","0.2358","3.4625e-002","2309.2",
"622.0","0.2466","3.6208e-002","2387.5",
"623.0","0.2592","3.8060e-002","2478.9",
"624.0","0.2718","3.9911e-002","2566.3",
"625.0","0.2854","4.1908e-002","2661.6",
"626.0","0.3016","4.4282e-002","2770.0",
"627.0","0.3194","4.6899e-002","2888.8",
"628.0","0.3379","4.9611e-002","3017.8",
"629.0","0.3561","5.2281e-002","3141.5",
"630.0","0.3775","5.5435e-002","3269.1",
"631.0","0.4031","5.9185e-002","3413.7",
"632.0","0.4289","6.2975e-002","3569.6",
"633.0","0.4564","6.7021e-002","3731.9",
"634.0","0.4852","7.1237e-002","3901.0",
"635.0","0.5146","7.5553e-002","4070.6",
"636.0","0.5442","7.9905e-002","4242.8",
"637.0","0.5745","8.4361e-002","4417.5",
"638.0","0.6035","8.8610e-002","4586.3",
"639.0","0.6280","9.2208e-002","4732.7",
"640.0","0.6489","9.5278e-002","4852.4",
"641.0","0.6627","9.7309e-002","4852.2",
"642.0","0.6694","9.8292e-002","4814.9",
"643.0","0.6665","9.7864e-002","4766.3",
"644.0","0.6513","9.5629e-002","4637.8",
"645.0","0.6273","9.2106e-002","4436.7",
"646.0","0.5945","8.7292e-002","4178.2",
"647.0","0.5532","8.1230e-002","3860.6",
"648.0","0.5071","7.4453e-002","3513.2",
"649.0","0.4570","6.7108e-002","3149.6",
"650.0","0.4090","6.0047e-002","2789.7",
"651.0","0.3631","5.3311e-002","2450.7",
"652.0","0.3202","4.7018e-002","2139.4",
"653.0","0.2816","4.1353e-002","1863.0",
"654.0","0.2480","3.6411e-002","1622.3",
"655.0","0.2194","3.2212e-002","1419.3",
"656.0","0.1946","2.8574e-002","1246.7",
"657.0","0.1729","2.5393e-002","1099.1",
"658.0","0.1543","2.2663e-002","972.5",
"659.0","0.1395","2.0481e-002","868.4",
"660.0","0.1267","1.8602e-002","778.5",
"661.0","0.1160","1.7030e-002","701.5",
"662.0","0.1059","1.5549e-002","632.6",
"663.0","0.0979","1.4374e-002","574.9",
"664.0","0.0918","1.3478e-002","528.2",
"665.0","0.0857","1.2588e-002","491.4",
"666.0","0.0801","1.1766e-002","463.1",
"667.0","0.0762","1.1183e-002","446.1",
"668.0","0.0727","1.0678e-002","439.6",
"669.0","0.0695","1.0202e-002","441.1",
"670.0","0.0672","9.8732e-003","451.7",
"671.0","0.0654","9.6031e-003","467.7",
"672.0","0.0640","9.4025e-003","489.7",
"673.0","0.0628","9.2263e-003","512.7",
"674.0","0.0615","9.0365e-003","534.8",
"675.0","0.0612","8.9882e-003","556.8",
"676.0","0.0610","8.9616e-003","575.3",
"677.0","0.0609","8.9440e-003","589.6",
"678.0","0.0615","9.0246e-003","602.9",
"679.0","0.0618","9.0745e-003","608.7",
"680.0","0.0624","9.1686e-003","609.1",
"681.0","0.0631","9.2675e-003","606.1",
"682.0","0.0641","9.4086e-003","602.8",
"683.0","0.0653","9.5860e-003","597.3",
"684.0","0.0666","9.7784e-003","590.1",
"685.0","0.0685","1.0065e-002","585.8",
"686.0","0.0706","1.0367e-002","580.3",
"687.0","0.0724","1.0623e-002","574.2",
"688.0","0.0743","1.0913e-002","568.4",
"689.0","0.0769","1.1294e-002","568.5",
"690.0","0.0804","1.1801e-002","572.4",
"691.0","0.0833","1.2229e-002","571.3",
"692.0","0.0869","1.2765e-002","574.2",
"693.0","0.0906","1.3303e-002","578.8",
"694.0","0.0941","1.3815e-002","581.7",
"695.0","0.0981","1.4411e-002","587.0",
"696.0","0.1028","1.5091e-002","593.7",
"697.0","0.1084","1.5915e-002","604.3",
"698.0","0.1140","1.6736e-002","615.3",
"699.0","0.1200","1.7622e-002","626.7",
"700.0","0.1257","1.8454e-002","637.0",
"701.0","0.1314","1.9294e-002","647.0",
"702.0","0.1383","2.0311e-002","660.6",
"703.0","0.1453","2.1339e-002","675.6",
"704.0","0.1521","2.2340e-002","689.5",
"705.0","0.1608","2.3613e-002","707.3",
"706.0","0.1694","2.4872e-002","723.9",
"707.0","0.1783","2.6185e-002","742.2",
"708.0","0.1861","2.7327e-002","757.1",
"709.0","0.1941","2.8498e-002","770.1",
"710.0","0.2043","2.9997e-002","791.5",
"711.0","0.2143","3.1461e-002","810.0",
"712.0","0.2244","3.2949e-002","825.4",
"713.0","0.2345","3.4439e-002","842.6",
"714.0","0.2435","3.5759e-002","857.3",
"715.0","0.2555","3.7520e-002","876.4",
"716.0","0.2663","3.9107e-002","892.5",
"717.0","0.2766","4.0611e-002","904.4",
"718.0","0.2873","4.2187e-002","921.5",
"719.0","0.2976","4.3704e-002","931.9",
"720.0","0.3095","4.5447e-002","944.6",
"721.0","0.3194","4.6892e-002","956.9",
"722.0","0.3290","4.8305e-002","966.6",
"723.0","0.3385","4.9703e-002","978.2",
"724.0","0.3498","5.1359e-002","985.7",
"725.0","0.3608","5.2981e-002","989.9",
"726.0","0.3710","5.4476e-002","997.1",
"727.0","0.3793","5.5694e-002","1003.2",
"728.0","0.3880","5.6977e-002","1004.9",
"729.0","0.3985","5.8509e-002","1007.1",
"730.0","0.4081","5.9917e-002","1009.7",
