WL(nm)	PL	PE(mW/nm)
645	0.5256	47.8715
646	0.5083	46.2966
647	0.5039	45.8881
648	0.4868	44.3390
649	0.4832	44.0116
650	0.4728	43.0625
651	0.4616	42.0379
652	0.4538	41.3289
653	0.4411	40.1694
654	0.4350	39.6169
655	0.4231	38.5381
656	0.4127	37.5854
657	0.4072	37.0856
658	0.3933	35.8158
659	0.3877	35.3127
660	0.3724	33.9144
661	0.3643	33.1783
662	0.3594	32.7290
663	0.3467	31.5712
664	0.3371	30.6981
665	0.3322	30.2534
666	0.3271	29.7864
667	0.3170	28.8662
668	0.3058	27.8486
669	0.3030	27.5992
670	0.2936	26.7357
671	0.2870	26.1395
672	0.2828	25.7569
673	0.2753	25.0768
674	0.2659	24.2188
675	0.2600	23.6782
676	0.2547	23.1974
677	0.2468	22.4794
678	0.2388	21.7462
679	0.2359	21.4862
680	0.2274	20.7059
681	0.2236	20.3675
682	0.2182	19.8725
683	0.2128	19.3810
684	0.2067	18.8274
685	0.2012	18.3272
686	0.1946	17.7232
687	0.1894	17.2478
688	0.1864	16.9799
689	0.1826	16.6340
690	0.1763	16.0583
691	0.1713	15.6003
692	0.1661	15.1305
693	0.1628	14.8283
694	0.1594	14.5210
695	0.1532	13.9549
696	0.1514	13.7888
697	0.1471	13.3972
698	0.1424	12.9726
699	0.1381	12.5771
700	0.1363	12.4157
701	0.1311	11.9377
702	0.1277	11.6269
703	0.1245	11.3363
704	0.1211	11.0317
705	0.1176	10.7062
706	0.1143	10.4107
707	0.1129	10.2804
708	0.1084	9.8685
709	0.1061	9.6638
710	0.1034	9.4158
711	0.0998	9.0863
712	0.0979	8.9126
713	0.0933	8.4937
714	0.0917	8.3513
715	0.0894	8.1453
716	0.0883	8.0453
717	0.0845	7.6916
718	0.0825	7.5107
719	0.0791	7.1998
720	0.0778	7.0901
721	0.0761	6.9262
722	0.0728	6.6319
723	0.0724	6.5942
724	0.0688	6.2680
725	0.0677	6.1657
726	0.0651	5.9301
727	0.0647	5.8942
728	0.0628	5.7165
729	0.0606	5.5227
730	0.0577	5.2554
731	0.0580	5.2814
732	0.0570	5.1895
733	0.0542	4.9396
734	0.0527	4.8002
735	0.0515	4.6932
736	0.0491	4.4677
737	0.0479	4.3631
738	0.0466	4.2447
739	0.0465	4.2306
740	0.0438	3.9929
741	0.0445	4.0485
742	0.0436	3.9749
743	0.0415	3.7776
744	0.0398	3.6228
745	0.0390	3.5499
746	0.0375	3.4122
747	0.0364	3.3108
748	0.0367	3.3457
749	0.0344	3.1313
750	0.0337	3.0663
751	0.0326	2.9652
752	0.0331	3.0141
753	0.0307	2.7953
754	0.0314	2.8598
755	0.0293	2.6704
756	0.0284	2.5832
757	0.0288	2.6266
758	0.0272	2.4793
759	0.0269	2.4506
760	0.0263	2.3984
761	0.0268	2.4397
762	0.0251	2.2868
763	0.0239	2.1753
764	0.0234	2.1273
765	0.0220	2.0065
766	0.0230	2.0908
767	0.0216	1.9665
768	0.0214	1.9535
769	0.0208	1.8902
770	0.0193	1.7590
771	0.0186	1.6964
772	0.0187	1.7068
773	0.0191	1.7380
774	0.0181	1.6492
775	0.0173	1.5719
776	0.0175	1.5895
777	0.0161	1.4682
778	0.0172	1.5631
779	0.0164	1.4898
780	0.0156	1.4191
781	0.0142	1.2938
782	0.0146	1.3270
783	0.0137	1.2465
784	0.0139	1.2660
785	0.0143	1.3039
786	0.0129	1.1760
787	0.0125	1.1394
788	0.0131	1.1926
789	0.0124	1.1248
790	0.0111	1.0092
791	0.0120	1.0885
792	0.0115	1.0464
793	0.0106	0.9674
794	0.0111	1.0090
795	0.0104	0.9447
796	0.0106	0.9617
797	0.0102	0.9288
798	0.0108	0.9847
799	0.0097	0.8816
800	0.0086	0.7877
