WL(nm)	PL	PE(mW/nm)
645	0.1799	26.4974
646	0.1736	25.5679
647	0.1719	25.3182
648	0.1682	24.7730
649	0.1650	24.2985
650	0.1613	23.7588
651	0.1600	23.5588
652	0.1542	22.7176
653	0.1502	22.1210
654	0.1476	21.7355
655	0.1448	21.3232
656	0.1411	20.7770
657	0.1385	20.3960
658	0.1360	20.0305
659	0.1319	19.4216
660	0.1280	18.8590
661	0.1254	18.4625
662	0.1213	17.8643
663	0.1195	17.6059
664	0.1163	17.1356
665	0.1141	16.8089
666	0.1116	16.4376
667	0.1093	16.0927
668	0.1071	15.7687
669	0.1047	15.4140
670	0.1025	15.1037
671	0.0993	14.6324
672	0.0963	14.1809
673	0.0955	14.0593
674	0.0931	13.7071
675	0.0908	13.3772
676	0.0884	13.0253
677	0.0864	12.7322
678	0.0843	12.4140
679	0.0816	12.0242
680	0.0808	11.9051
681	0.0782	11.5119
682	0.0764	11.2589
683	0.0748	11.0207
684	0.0736	10.8430
685	0.0720	10.6009
686	0.0697	10.2607
687	0.0680	10.0187
688	0.0663	9.7625
689	0.0649	9.5564
690	0.0638	9.4013
691	0.0615	9.0524
692	0.0593	8.7353
693	0.0586	8.6249
694	0.0576	8.4781
695	0.0551	8.1208
696	0.0542	7.9842
697	0.0532	7.8336
698	0.0523	7.7089
699	0.0505	7.4362
700	0.0493	7.2642
701	0.0475	7.0007
702	0.0465	6.8537
703	0.0461	6.7855
704	0.0443	6.5203
705	0.0429	6.3200
706	0.0425	6.2601
707	0.0405	5.9658
708	0.0396	5.8261
709	0.0383	5.6426
710	0.0379	5.5825
711	0.0372	5.4755
712	0.0361	5.3136
713	0.0357	5.2610
714	0.0350	5.1596
715	0.0335	4.9317
716	0.0322	4.7384
717	0.0316	4.6479
718	0.0308	4.5348
719	0.0306	4.5081
720	0.0293	4.3147
721	0.0290	4.2676
722	0.0279	4.1019
723	0.0273	4.0270
724	0.0268	3.9405
725	0.0268	3.9437
726	0.0251	3.6964
727	0.0255	3.7488
728	0.0237	3.4963
729	0.0237	3.4976
730	0.0230	3.3901
731	0.0223	3.2847
732	0.0217	3.1981
733	0.0213	3.1419
