WL(nm)	PL	PE(mW/nm)
645	0.3527	228.0381
646	0.2987	193.1625
647	0.2558	165.4265
648	0.2144	138.6183
649	0.1785	115.4320
650	0.1486	96.0936
651	0.1241	80.2343
652	0.1019	65.8661
653	0.0851	55.0448
654	0.0702	45.3776
655	0.0586	37.8887
656	0.0493	31.8462
657	0.0407	26.3440
658	0.0340	21.9678
659	0.0282	18.2334
660	0.0223	14.4139
661	0.0186	11.9967
662	0.0157	10.1326
663	0.0133	8.6303
664	0.0114	7.3730
665	0.0097	6.2801
666	0.0084	5.4563
667	0.0073	4.6885
668	0.0064	4.1076
669	0.0054	3.5095
670	0.0048	3.0925
671	0.0041	2.6551
672	0.0036	2.3011
673	0.0032	2.0372
674	0.0028	1.8239
675	0.0025	1.5849
676	0.0022	1.4093
677	0.0020	1.2716
678	0.0017	1.0897
679	0.0015	0.9816
680	0.0014	0.8966
681	0.0013	0.8171
682	0.0012	0.7691
683	0.0011	0.6857
684	0.0010	0.6537
685	0.0010	0.6234
686	0.0009	0.5719
687	0.0008	0.5236
688	0.0007	0.4751
689	0.0007	0.4443
690	0.0007	0.4419
691	0.0006	0.4116
692	0.0006	0.4018
693	0.0006	0.3828
694	0.0006	0.3653
695	0.0006	0.3704
696	0.0005	0.3386
697	0.0005	0.3489
698	0.0005	0.3292
699	0.0005	0.3314
700	0.0005	0.3040
701	0.0005	0.3078
702	0.0004	0.2807
703	0.0004	0.2836
704	0.0004	0.2657
705	0.0004	0.2612
706	0.0004	0.2558
707	0.0004	0.2533
708	0.0004	0.2460
709	0.0004	0.2348
710	0.0003	0.2255
711	0.0004	0.2549
712	0.0004	0.2298
713	0.0003	0.2236
714	0.0004	0.2302
715	0.0004	0.2365
716	0.0003	0.2012
717	0.0003	0.2151
718	0.0003	0.2102
719	0.0003	0.2191
720	0.0003	0.1903
721	0.0004	0.2264
722	0.0003	0.2017
723	0.0003	0.2012
724	0.0003	0.1952
725	0.0003	0.2043
726	0.0003	0.1781
727	0.0003	0.1807
728	0.0003	0.1853
729	0.0003	0.1866
730	0.0002	0.1576
731	0.0003	0.1909
732	0.0003	0.1739
733	0.0003	0.1966
734	0.0003	0.2014
735	0.0003	0.1840
736	0.0003	0.1707
737	0.0003	0.2120
738	0.0003	0.1841
739	0.0003	0.1898
740	0.0003	0.1841
741	0.0003	0.1780
742	0.0003	0.2022
743	0.0003	0.1928
744	0.0003	0.1780
745	0.0003	0.1849
746	0.0003	0.1829
747	0.0003	0.1807
748	0.0003	0.1859
749	0.0003	0.1767
750	0.0003	0.1861
751	0.0003	0.1887
752	0.0003	0.1761
753	0.0003	0.1819
754	0.0003	0.2171
755	0.0003	0.1626
756	0.0003	0.1699
757	0.0003	0.1909
758	0.0003	0.2066
759	0.0003	0.1731
760	0.0003	0.1916
